Time, Lateral Acceleration, Lateral Velocity, Yaw Rate, FyF, FyR, FzF, FzR, aSlipF, aSlipR
0.17, 4.8512, -0.0401, 0.1612, 2016.4463, 2107.4371, 4463.3230, 4725.8714, -0.6694, -0.6694
0.17, 4.8586, -0.0406, 0.1612, 2018.8617, 2111.2980, 4463.3230, 4725.8714, -0.6702, -0.6702
0.17, 4.8659, -0.0411, 0.1613, 2021.2577, 2115.0989, 4463.3230, 4725.8714, -0.6709, -0.6709
0.17, 4.8731, -0.0416, 0.1613, 2023.6341, 2118.8407, 4463.3230, 4725.8714, -0.6717, -0.6717
0.17, 4.8802, -0.0421, 0.1613, 2025.9908, 2122.5242, 4463.3230, 4725.8714, -0.6725, -0.6725
0.17, 4.8872, -0.0426, 0.1613, 2028.3275, 2126.1503, 4463.3230, 4725.8714, -0.6733, -0.6733
0.17, 4.8941, -0.0431, 0.1614, 2030.6443, 2129.7196, 4463.3230, 4725.8714, -0.6741, -0.6741
0.17, 4.9009, -0.0436, 0.1614, 2032.9409, 2133.2330, 4463.3230, 4725.8714, -0.6748, -0.6748
0.17, 4.9077, -0.0440, 0.1614, 2035.2172, 2136.6912, 4463.3230, 4725.8714, -0.6756, -0.6756
0.18, 4.9143, -0.0445, 0.1614, 2037.4732, 2140.0950, 4463.3230, 4725.8714, -0.6763, -0.6763
0.18, 4.9209, -0.0450, 0.1614, 2039.7087, 2143.4452, 4463.3230, 4725.8714, -0.6771, -0.6771
0.18, 4.9274, -0.0454, 0.1614, 2041.9237, 2146.7426, 4463.3230, 4725.8714, -0.6778, -0.6778
0.18, 4.9338, -0.0459, 0.1615, 2044.1181, 2149.9878, 4463.3230, 4725.8714, -0.6785, -0.6785
0.18, 4.9401, -0.0463, 0.1615, 2046.2918, 2153.1816, 4463.3230, 4725.8714, -0.6793, -0.6793
0.18, 4.9463, -0.0468, 0.1615, 2048.4448, 2156.3247, 4463.3230, 4725.8714, -0.6800, -0.6800
0.18, 4.9525, -0.0472, 0.1615, 2050.5770, 2159.4178, 4463.3230, 4725.8714, -0.6807, -0.6807
0.18, 4.9586, -0.0476, 0.1615, 2052.6885, 2162.4617, 4463.3230, 4725.8714, -0.6814, -0.6814
0.18, 4.9645, -0.0480, 0.1615, 2054.7792, 2165.4571, 4463.3230, 4725.8714, -0.6821, -0.6821
0.18, 4.9704, -0.0484, 0.1615, 2056.8491, 2168.4046, 4463.3230, 4725.8714, -0.6828, -0.6828
0.19, 4.9763, -0.0488, 0.1615, 2058.8981, 2171.3049, 4463.3230, 4725.8714, -0.6834, -0.6834
0.19, 4.9820, -0.0493, 0.1616, 2060.9264, 2174.1588, 4463.3230, 4725.8714, -0.6841, -0.6841
0.19, 4.9877, -0.0496, 0.1616, 2062.9339, 2176.9668, 4463.3230, 4725.8714, -0.6848, -0.6848
0.19, 4.9933, -0.0500, 0.1616, 2064.9206, 2179.7296, 4463.3230, 4725.8714, -0.6854, -0.6854
